type,category_pk,cue,name,movie
EXPLANATION,sq_001_bhoomi_f.mp4,,Mangalacharan Overview,exs_100_intromangala.mp4
EXPLANATION,sq_001_bhoomi_f.mp4,0 - 7000,Bhoomipranam,exs_101_bhumi.mp4
EXPLANATION,sq_101_mangalacharan1_f.mp4,,Mangalacharan Overview,exs_100_intromangala.mp4
EXPLANATION,sq_101_mangalacharan1_f.mp4,0 - 7000,Durga Stuti,exs_102_durga.mp4
EXPLANATION,sq_102_mangalacharan2_f.mp4,,Mangalacharan Overview,exs_100_intromangala.mp4
EXPLANATION,sq_102_mangalacharan2_f.mp4,0 - 7000,Ganesh Bandana,exs_103_ganband.mp4
EXPLANATION,sq_103_mangalacharan3_f.mp4,,Mangalacharan Overview,exs_100_intromangala.mp4
EXPLANATION,sq_103_mangalacharan3_f.mp4,0 - 7000,Sabhapranam,exs_104_sabhapranam.mp4
EXPLANATION,sq_201_sthiti_f.mp4,,Sthayi Overview,exs_200_sthayi.mp4
EXPLANATION,sq_201_sthiti_f.mp4,0 - 7000,Sthiti,exs_201_sabda.mp4
EXPLANATION,sq_202_GPDsthayi_f.mp4,,Sthayi Overview,exs_200_sthayi.mp4
EXPLANATION,sq_202_GPDsthayi_f.mp4,0 - 7000,Sthayi - Pankaj Charan Das,exs_202_GPDstha.mp4
EXPLANATION,sq_203_battu_f.mp4,,Sthayi Overview,exs_200_sthayi.mp4
EXPLANATION,sq_203_battu_f.mp4,0 - 7000,Battu - Kelucharan Mohapatra,exs_203_battu.mp4
EXPLANATION,sq_204_konark_f.mp4,,Sthayi Overview,exs_200_sthayi.mp4
EXPLANATION,sq_204_konark_f.mp4,0 - 7000,Konark Kanti,exs_204_konark.mp4
EXPLANATION,sq_301_pallavi_f.mp4,,Pallavi Overview,exs_300_pallavi.mp4
EXPLANATION,sq_301_pallavi_f.mp4,0 - 7000,Raga Rageshri,exs_301_rage.mp4
EXPLANATION,sq_302_pallavi2_f.mp4,,Pallavi Overview,exs_300_pallavi.mp4
EXPLANATION,sq_302_pallavi2_f.mp4,0 - 7000,Raga Hamsadhwani,exs_302_hamsa.mp4
EXPLANATION,sq_401_abhinaya1_f.mp4,,Abhinaya Overview,exs_400_abhin.mp4
EXPLANATION,sq_401_abhinaya1_f.mp4,0 - 7000,Sakhi Hey,exs_401_sakh.mp4
EXPLANATION,sq_402_abhinaya2_f.mp4,,Abhinaya Overview,exs_400_abhin.mp4
EXPLANATION,sq_402_abhinaya2_f.mp4,0 - 7000,Pratinayaka,exs_402_pratina.mp4
EXPLANATION,sq_501_moksha_f.mp4,,Moksha Overview,exs_500_moksha.mp4
EXPLANATION,sq_501_moksha_f.mp4,0 - 7000,Moksha,exs_501_kelumoksha.mp4
EXPLANATION,sq_601_pc1_f.mp4,,Pada Chalana Overview,exs_600_introchalana.mp4
EXPLANATION,sq_601_pc1_f.mp4,0 - 7000,1,exs_601_pc1.mp4
EXPLANATION,sq_602_pc2_f.mp4,,Pada Chalana Overview,exs_600_introchalana.mp4
EXPLANATION,sq_602_pc2_f.mp4,0 - 7000,2,exs_602_pc2.mp4
EXPLANATION,sq_603_pc3_f.mp4,,Pada Chalana Overview,exs_600_introchalana.mp4
EXPLANATION,sq_603_pc3_f.mp4,0 - 7000,3,exs_603_pc3.mp4
EXPLANATION,sq_604_pc4_f.mp4,,Pada Chalana Overview,exs_600_introchalana.mp4
EXPLANATION,sq_604_pc4_f.mp4,0 - 7000,4,exs_604_pc4.mp4
EXPLANATION,sq_501_vilasini_f.mp4,0 - 7000,Vilasini,exs_700_vilas.mp4
EXPLANATION,sq_502_chalo_f.mp4,0 - 7000,Chalo Chalo,exs_800_chalo.mp4
EXPLANATION,sq_503_gatibilasl_f.mp4,0 - 7000,Gatibilas (Simha),exs_900_liongati.mp4
EXPLANATION,sq_504_gatibilash_f.mp4,0 - 7000,Gatibilas (Hamsa),exs_1000_swangati.mp4
EXPLANATION,sq_505_debi_f.mp4,0 - 7000,Debi Bharani,exs_1100_debi.mp4
EXPLANATION,sq_506_kundalika_f.mp4,0 - 7000,Kundalika,exs_1200_kunda.mp4
EXPLANATION,sq_506_kundalika_f.mp4,,Bhramari Overview,exu_800_01_introbhrasb.mp4
EXPLANATION,sq_507_abahani_f.mp4,0 - 7000,Abahani,exs_1300_abah.mp4
EXPLANATION,sq_508_dasa_f.mp4,0 - 7000,Dasavatara,exs_1400_dasa.mp4
EXPLANATION,sq_509_ABBB_f.mp4,0 - 7000,Abartan Bibartan,exs_1500_abbb.mp4
EXPLANATION,sq_510_murch_f.mp4,0 - 7000,Murchhana,exs_1600_murch.mp4
EXPLANATION,sq_511_sabda_f.mp4,0 - 7000,Shiv Parvathi Sabda,exs_1700_sabda.mp4
EXPLANATION,sq_512_sthsan_f.mp4,0 - 7000,Sthayi & Sanchari Bhava,exs_1800_sthsan.mp4
UNIT,sq_001_bhoomi_f.mp4,0 - 31,Prusthadhanu,ut_313_prustha_f.mp4
UNIT,sq_001_bhoomi_f.mp4,72 - 78,Veshtita,ut_802_vesht_f.mp4
UNIT,sq_001_bhoomi_f.mp4,150 - 151,Chauka,ut_803_ekchauk_f.mp4
UNIT,sq_001_bhoomi_f.mp4,152 - 154,Chauka,ut_803_ekchauk_f.mp4
UNIT,sq_001_bhoomi_f.mp4,158 - 175,Kumbha,ut_307_kumbha_f.mp4
UNIT,sq_001_bhoomi_f.mp4,176 - 178,Sama,ut_303_samapada_f.mp4
UNIT,sq_001_bhoomi_f.mp4,199 - 2000,Sama,ut_303_samapada_f.mp4
UNIT,sq_101_mangalacharan1_f.mp4,9 - 10,Sama,ut_303_samapada_f.mp4
UNIT,sq_101_mangalacharan1_f.mp4,10 - 12,Chauka,ut_309_chaukapada_f.mp4
UNIT,sq_101_mangalacharan1_f.mp4,12 - 12,Kumbha,ut_307_kumbha_f.mp4
UNIT,sq_101_mangalacharan1_f.mp4,32 - 33,Sama,ut_303_samapada_f.mp4
UNIT,sq_101_mangalacharan1_f.mp4,33 - 34,Alidha,ut_327_alidh_f.mp4
UNIT,sq_101_mangalacharan1_f.mp4,40 - 41,Dhanu,ut_312_dhanu_f.mp4
